,1_onscc_avg,1_onscc_lag_avg,1_onscc_lag_med,1_onscc_lag_std,1_onscc_std,2_onscc_avg,2_onscc_lag_avg,2_onscc_lag_med,2_onscc_lag_std,2_onscc_std,4_onscc_avg,4_onscc_lag_avg,4_onscc_lag_med,4_onscc_lag_std,4_onscc_std,duration,file_id,tempo
0278,0.811384640521362,1.3251167133520074,1.5555555555555554,0.6582529483792314,0.09021352503102521,0.7916948893656233,2.36887392442948,2.5555555555555554,0.8947759781016533,0.08698904560296519,0.801097063196672,4.5889639639639626,5.166666666666666,1.942273990959736,0.08666891244537868,252.8885260770975,0278 sarit hadad - la'asot ma sheba li.mp3,143.5546875
0279,0.8090067557454889,1.617124183006536,1.92,0.52467938943965,0.10143806720001951,0.7915345798981818,2.6163157894736844,1.92,1.124327684610795,0.09738418543874669,0.7948357923825582,5.0069333333333335,5.88,2.8787654637979028,0.1016586892430407,183.76272108843537,0279 sarit hadad - bosem tzarfati.mp3,103.359375
0280,0.8181699149556212,1.1973244147157192,0.9565217391304349,0.6299447060452614,0.09794605073723094,0.8062538807875259,2.174104577667114,2.6086956521739135,1.1662550574146193,0.10552159901097961,0.7869274357778836,3.280877260484802,2.6086956521739135,2.276281822545671,0.09748908747149808,249.84671201814058,0280 dudu aharon - lo mevater.mp3,112.34714673913044
0281,0.8648103971534701,1.3547108208955223,1.4375,0.6466262800409713,0.07968241388503323,0.8246496252799302,2.622191011235955,2.4375,1.3244974041601847,0.08198522452493806,0.8267534460340228,6.142857142857143,8.0,2.380688816865768,0.08354772396695952,203.08485260770976,0281 lior narkis - ani af elaich.mp3,161.4990234375
0282,0.7860270578315165,1.2713329615170108,1.2272727272727273,0.6800110521171373,0.0918459436678885,0.7709808251896842,2.9828614008941874,4.0,1.2462221446509176,0.09402968535188233,0.7633825116906284,5.599173553719008,6.045454545454546,2.4807021045449513,0.09350153199076464,256.88235827664397,0282 amir benayoun & micha shitrit - smachot ktanot.mp3,117.45383522727273
0283,0.7950071411739502,1.255073051948052,1.4545454545454546,0.6450103206389098,0.11272205530418634,0.7648745724438551,2.548715858132898,2.9545454545454546,1.4573163706387333,0.11074479304626594,0.7433433078967773,4.69000819000819,4.0,2.866220238787173,0.10900237403516144,239.7085260770975,0283 haim uliel - simanei se'ara.mp3,117.45383522727273
0284,0.7640043407811848,1.027570789865872,0.9444444444444444,0.7191610411482819,0.11038358829818237,0.7077184250105673,1.65787728026534,1.8888888888888888,1.3576439575908508,0.11203574998245559,0.662537650255386,2.2534930139720553,0.9444444444444444,2.6291195705976516,0.09305819350339889,281.6348299319728,0284 yehuda poliker - eich korim la'ahava sheli.mp3,143.5546875
0285,0.7898790907765192,1.3223985890652556,1.5,0.7563422920875722,0.1130082851645132,0.7544017637231547,2.374203821656051,2.0,1.4185684489725559,0.1169694538753152,0.7327823209074827,4.256410256410256,4.055555555555555,2.849705931764416,0.11742414917730036,281.86702947845805,0285 amir benayoun - hakol ad lekan.mp3,143.5546875
0286,0.8168432183194869,1.2027722772277225,1.0,0.706751204437617,0.09074143006985912,0.7776974801506314,2.056349206349206,2.0,1.392161789981142,0.08556842076708729,0.7413195436000823,3.2992000000000004,3.0,2.6926194235353798,0.08747281141348824,253.1439455782313,0286 kaveret - hamagafaim shel baruch.mp3,129.19921875
0287,0.7714401268459893,1.015566502463054,1.0,0.7380670062236521,0.10118907684012364,0.719644101686997,1.4174257425742574,1.0,1.4450233157633465,0.08720756055935824,0.6847167694568634,1.3607999999999998,0.0,2.371038456035667,0.0716473427464497,242.04480725623583,0287 arik ainstein - atur mitzchech.mp3,103.359375
0288,0.8486892513751984,1.3936,1.4444444444444444,0.682893284145381,0.08759575858121142,0.8189084357940234,3.00267094017094,3.833333333333333,1.2969814486366897,0.10049071039670485,0.8266337910006123,6.004659498207885,7.722222222222221,2.640145558834271,0.10726897723400845,260.0867120181406,0288 benzin - yom shishi.mp3,143.5546875
0289,0.9185081880242392,1.5492806719685461,1.9473684210526316,0.5193483167736233,0.046530381948575776,0.901732607358167,2.1736484067311133,1.9473684210526316,1.0305125933356298,0.042265602197928645,0.9188265894373803,5.770367700072097,5.894736842105264,2.4827403307317506,0.03164980968619757,259.9009523809524,0289 rami fortis - chatul mifletzet.mp3,135.99917763157896
0290,0.8779298988418064,1.5303400931113391,1.9473684210526316,0.570369298187205,0.07145217304790497,0.8541347110593641,2.8346767820452032,3.0000000000000004,1.1269717626084836,0.07579866438211828,0.8332475662590509,5.121116043119848,5.342105263157896,2.3901732728379277,0.07923968827464546,321.5499319727891,0290 gidi gov - ani shuv mitahev.mp3,135.99917763157896
0291,0.8609091523737414,1.3694094390906846,1.8947368421052633,0.6593576508286345,0.10167579711736446,0.8364006578922272,2.4829721362229096,1.9473684210526316,1.3162866298073395,0.09093075803965595,0.811986747496533,4.010675273088381,3.947368421052632,2.509174818494724,0.07376496017700267,378.29950113378686,0291 maor cohen - hachi yafa baolam.mp3,135.99917763157896
0292,0.7929078416996881,1.3362890922959572,1.4347826086956523,0.547100410725848,0.09361084357017635,0.7741321302983204,2.8308753112430574,3.4782608695652177,1.2867815624408052,0.09105390662866004,0.7698764500364793,5.694497883801463,7.000000000000001,2.4833585352570613,0.08056667157228978,246.15473922902495,0292 yehudit ravitz - ga'agua.mp3,112.34714673913044
0293,0.824551411902845,1.2781638445727708,1.0,0.7212719629611536,0.10308108146198437,0.7812741444508234,2.418823529411765,2.941176470588235,1.1310429397188637,0.11511633992610319,0.7534338519877235,4.278326095538887,5.9411764705882355,2.3031005448452895,0.11339669023291293,253.00462585034015,0293 yehudit ravitz - kshetavo ahava.mp3,151.99908088235293
0294,0.8036637039995005,1.325462866652798,1.4210526315789476,0.6520329965088958,0.10759962702511729,0.7497763295495321,2.368421052631579,2.0,1.4381608852077834,0.10039073940970339,0.7119181520938873,6.15157894736842,7.947368421052632,2.831243181031701,0.10281381698167738,232.50140589569162,0294 mashina - bein hatzlalim.mp3,135.99917763157896
0295,0.7792011473376678,1.2079694323144106,1.0,0.7391993951502582,0.11808575539557496,0.7445215627289655,2.458552631578947,2.9000000000000004,1.5325286156402538,0.12017051778279386,0.725815215733199,4.932300884955753,4.0,2.8515243583223016,0.11452569512743167,223.4572335600907,0295 amir dadon - or gadol.mp3,129.19921875
