,file_id,tempo,duration,onscc_half_avg,onscc_half_std,onscc_half_lag_avg,onscc_half_lag_med,onscc_half_lag_std,onscc_bar_avg,onscc_bar_std,onscc_bar_lag_avg,onscc_bar_lag_med,onscc_bar_lag_std,onscc_quart_avg,onscc_quart_std,onscc_quart_lag_avg,onscc_quart_lag_med,onscc_quart_lag_std
0001,0001 jo amar - shalom lecha dodi.mp3,135.99917763157896,170.80598639455783,0.700980523850191,0.09344415467779868,1.06360821840698,0.0,1.3360104892134776,0.6854294109088118,0.07545363676188488,1.9784946236559142,0.0,2.6130899628659754,0.7391728967030843,0.11428485791687554,0.7204210526315789,0.8947368421052633,0.6340215689973268
0002,0002 filfel el misri - hakol betashlumim.mp3,135.99917763157896,200.89904761904762,0.6546164834284568,0.09630330822587002,1.536747273589379,1.473684210526316,1.3626701899792821,0.607070518894629,0.06844946170270043,2.4770334928229665,1.6842105263157896,2.6847572130475212,0.7189332166594775,0.11208569207476483,0.8792777908897805,0.9473684210526316,0.561523164635241
0003,0003 aris san - tel aviv.mp3,151.99908088235293,203.05850340136055,0.7908222003011253,0.0923350832737228,2.0282538212135246,1.9411764705882353,0.976771618127153,0.7582678113664899,0.0842747643451823,3.744631185807656,2.9705882352941178,2.4284924965750867,0.8143267615136557,0.10174354147188554,0.9909857852767828,0.9411764705882353,0.47533180089768534
0005,0005 ahuva uzeri - heichan hachaial.mp3,123.046875,281.68126984126985,0.6926848814412431,0.14420129372641735,1.8085248085248082,2.5238095238095237,1.1484278226086342,0.665377739869373,0.154719583651922,3.018108651911469,2.595238095238095,2.4206201445377324,0.7129310772394054,0.1249617865932197,0.9162933466069355,0.9047619047619047,0.5705406924685069
0007,0007 haim moshe - ten lazman lalechet.mp3,123.046875,271.14521541950114,0.7326412774816322,0.08490689836877809,1.9771640998406799,1.9523809523809523,1.1413335035404533,0.7359050000781444,0.08849380757527071,4.135749822316986,5.285714285714286,2.043296436239926,0.7727992069390085,0.09398142888029694,0.9783068783068782,0.9523809523809523,0.5371709896277401
0008,0008 margalit tzanani - naari shuva elai.mp3,103.359375,231.29396825396825,0.7602300838087545,0.08843816725021797,2.175555555555556,1.96,0.9402043859276665,0.756667187627481,0.07973785430698653,4.1767346938775525,3.92,2.0407515499923883,0.7557748652225177,0.09742108677163384,1.074962216624685,0.96,0.5319938363339876
0010,0010 eyal golan - yafa sheli.mp3,143.5546875,225.23356009070295,0.7813655917461102,0.09643642311747404,2.4038461538461533,2.6666666666666665,0.7295905674311088,0.7637779213661371,0.08539208262539412,4.174849267872522,4.722222222222222,1.588161123861402,0.7809284435035625,0.0960092173940302,1.1312260536398469,1.0,0.4977633679747787
0011,0011 sarit hadad - yalla lech habaita moti.mp3,151.99908088235293,198.90213151927438,0.7980643537256026,0.08523560592785842,2.127609108159393,2.588235294117647,0.883750372664725,0.7891272340363603,0.07790194214149929,3.9086561453849837,5.294117647058823,1.7396467754764084,0.8252069825628197,0.08946679304087825,1.0696905268131347,0.9411764705882353,0.39084060950817057
0012,0012 omer adam - hopa.mp3,123.046875,181.185306122449,0.7930048764762232,0.08841205227871365,2.0715630885122414,2.0,0.9655946973156505,0.785678656263785,0.08891484723844802,3.571428571428571,3.5238095238095237,1.9769596375165093,0.7428817981749438,0.11187082771622339,0.8574103798822899,0.7142857142857142,0.5473455755390494
0014,0014 moshe peretz - kol hamilim hasmechot.mp3,99.38401442307692,216.6421768707483,0.7102655069521296,0.10434095554513255,1.7874493927125508,1.4615384615384617,1.1128829795016457,0.6983657440718483,0.10846338184106298,3.526244343891402,2.9615384615384617,2.688647879434197,0.7354103210707044,0.12161858709565775,0.9751788908765653,1.4230769230769231,0.5965819217235393
0015,0015 pe'er tassi - dfikot halev.mp3,92.28515625,204.56780045351474,0.7351367204989258,0.11835419340094283,1.619595864661654,1.9642857142857142,1.1825963673370354,0.724291493097941,0.11587773336452237,2.5714285714285716,1.9642857142857142,2.067656664350407,0.7660488638721529,0.11207963111435744,0.8693208430913348,0.9642857142857142,0.521808344363521
0016,0016 ehud banai - kulam yodim.mp3,123.046875,211.022947845805,0.7656904871218673,0.0946632569242174,1.8644859813084107,2.4285714285714284,1.0215114354334116,0.7506540243355733,0.08221014874900177,3.8948787061994614,4.904761904761904,2.5155377931883107,0.7862479040672729,0.10934734725518028,0.9692529692529693,0.9523809523809523,0.5433403844803472
0017,0017 hachalonot hagvohim - einech yechola.mp3,135.99917763157896,158.01179138321996,0.8120856608374644,0.08077782803726537,2.033303597977996,1.9473684210526316,0.933700006198165,0.8019799996506084,0.06391648680613944,4.221889952153109,3.947368421052632,1.9069160806872056,0.8355381361195738,0.08547236553584373,0.9117865085248333,0.9473684210526316,0.45133631693379805
0020,0020 svika pick - shnei tapuchim.mp3,129.19921875,196.76589569160998,0.7778216223811629,0.09539334924831815,1.751492537313433,2.0,1.1758971429254892,0.7446462154388428,0.08513315097923088,2.8815000000000004,2.75,2.2765286622399463,0.8041144179383127,0.10336742888722723,0.887128712871287,0.9500000000000001,0.5702788733014637
0023,0023 teapacks - rikudei amba.mp3,123.046875,194.8328344671202,0.7828835787797215,0.0765309033813949,2.024290524290524,1.9047619047619047,0.8592078687016519,0.7760997901157457,0.0712367039048969,4.293974732750243,3.9047619047619047,1.8623438362212699,0.786208003008696,0.101017257446047,1.111910759265923,0.9523809523809523,0.4452611860429814
0028,0028 dudu tassa - ani ratz.mp3,107.666015625,176.84317460317462,0.8236778631602248,0.07372788936311621,2.146404109589041,2.0,0.8385713844583694,0.8152936647335688,0.07249237549119981,4.066550925925926,4.041666666666666,1.6857509757804743,0.7930626597534232,0.08928454405689203,0.8921485260770974,0.9583333333333333,0.3894392011524714
0029,0029 idan amedi - ke'ev shel lochamim.mp3,86.1328125,196.4408163265306,0.6064941695442906,0.09090889237115617,0.5103703703703704,0.0,0.9921707229525698,0.5936110949338372,0.07079518985213157,0.5447761194029851,0.0,1.714967301070633,0.6521372141873265,0.10829393225578914,0.6521525215252152,0.6,0.64833536467238
0031,0031 ivri lider - leonardo.mp3,161.4990234375,221.6692970521542,0.7650386749097965,0.10063561988880243,2.092491610738255,1.9375,1.0214020273328654,0.7544829422557676,0.10446568584844848,4.2605574324324325,3.875,2.43821875786988,0.7892788953107336,0.10386384526587496,0.9730351170568562,0.9375,0.5221542618628215
0034,0034 yehudit ravitz - arba lifnot boker.mp3,129.19921875,184.71473922902496,0.8328701016150023,0.07032151578829139,2.3968421052631577,2.5250000000000004,1.098475271655067,0.8222387921302876,0.05754532389397446,4.525,4.05,2.2678107120154265,0.853450949747525,0.07753717053738035,0.9895287958115183,1.0,0.4820959778854355
0040,0040 dudu tassa - ma'aliot.mp3,143.5546875,178.538231292517,0.6942302062397911,0.11314991759626486,1.4809523809523806,1.8888888888888888,1.205241067200395,0.6472452483498133,0.09520818064094659,2.1404914529914527,0.9444444444444444,2.4994771144868237,0.7402370618103236,0.11667195592595599,0.8486408023225127,0.9444444444444444,0.6253589802457482
