,file_id,tempo,duration,onscc_half_avg,onscc_half_std,onscc_half_lag_avg,onscc_half_lag_med,onscc_half_lag_std,onscc_bar_avg,onscc_bar_std,onscc_bar_lag_avg,onscc_bar_lag_med,onscc_bar_lag_std,onscc_quart_avg,onscc_quart_std,onscc_quart_lag_avg,onscc_quart_lag_med,onscc_quart_lag_std
back,backbeat.120bpm.-12dB.mp3,120,183.97718820861678,0.9928137090324697,0.004358181439920232,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.9927092883321974,0.003713455739947654,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.8784275806539661,0.07281481575465606,1.0249951409135085,0.9752380952380952,0.25228192307418934
back,backbeat.120bpm.aggressive.compression.mp3,120,183.99655328798187,0.9937368506226092,0.003165410885179876,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.9936736557218764,0.002663209000415957,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.8946576591703918,0.052165487301241466,0.9154020582592012,0.9287981859410431,0.42700962705525913
back,backbeat.120bpm.mp3,120,183.9746485260771,0.9928909487487203,0.004211731131961137,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.9927864008479648,0.003652845816021104,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.8797843503755528,0.07235436666839518,1.0249951409135085,0.9752380952380952,0.2522819230741893
back,backbeat.120bpm.vintage.sound.mp3,120,183.8151927437642,0.9921440847670835,0.006071443589190806,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.9920150895913442,0.005134141809162317,1.9504761904761911,1.9504761904761905,6.661338147750939e-16,0.8725573333737614,0.07386747001110695,1.0209125115247566,0.9752380952380952,0.24796788328337951
back,backbeat.malfouf.masmoudi.fast.120bpm.mp3,120,60.00321995464853,0.9564461247962818,0.0586419754719762,2.1101642996379844,1.9504761904761905,0.43320784167453713,0.9724749347993306,0.05104004940648786,2.6819047619047622,1.9504761904761905,1.1528504544615923,0.8308052239210709,0.12257024452501021,1.1185960761116043,0.9752380952380952,0.3716991964314764
back,backbeat.malfouf.masmoudi.slow.120bpm.mp3,120,59.81124716553288,0.9340642774314211,0.06460136545467515,2.190008354218881,1.9504761904761905,0.59534349947179,0.9518443793058395,0.046273941346881106,3.3420149011985743,3.947392290249433,1.4463351774910862,0.8996421982502115,0.05816244931243934,1.0432965830010166,0.9752380952380952,0.3572029224853935
malf,malfouf.120bpm.slow.mp3,120,183.80530612244897,0.9741967245936394,0.013518189162392683,3.8730884353741493,3.947392290249433,0.3238829945168725,0.9735666442725618,0.00903877855301402,3.947392290249433,3.947392290249433,0.0,0.9256388315026691,0.07426961438287369,1.9976868866495425,2.4613151927437644,0.544839060409353
malf,malfouf.fast.120bpm.mp3,120,60.00326530612245,0.9918168293578284,0.004685673726966342,1.95047619047619,1.9504761904761905,4.440892098500626e-16,0.9915081996184129,0.004244419155557355,1.950476190476191,1.9504761904761905,4.440892098500626e-16,0.9920181077823305,0.005011807764088617,1.950476190476191,1.9504761904761905,4.440892098500626e-16
masm,masmoudi.120bpm.slow.mp3,120,183.80530612244897,0.9031247304545509,0.05363340174322582,2.033294028722601,1.9504761904761905,0.5599230460442349,0.8955279193567426,0.03212457673389289,4.708693724680883,4.96907029478458,1.6863638959773282,0.8982574045658112,0.049497973317605,0.928669898898786,0.9287981859410431,0.4157797289244322
masm,masmoudi.fast.120bpm.mp3,120,60.00340136054422,0.9724364925075222,0.009857112648374747,3.947392290249434,3.947392290249433,8.881784197001252e-16,0.9717684023910098,0.005198352166263138,3.947392290249434,3.947392290249433,8.881784197001252e-16,0.9209957051277161,0.04069748409062363,2.2706019652305374,2.4613151927437644,0.3980904100523647
